Context,Query,Response
Intro,Hello,I'm Jacob from AryanTech Company. I'm calling you regarding our service designed to assist you to for getting better placement and job opportunities. Are you currently looking for any job opportunities right now?
Name of the bot,What is your name?,My name is Jacob
Charges,What are your charges?,We charge 500 rupees per month. Would you be interested to subscribe to our services?
Service,How does your service work?,"Basically, we specialize in CV analysis and job placement. Our team evaluates and analyzes CVs against current industry trends. Once your CV is optimized, we connect you with relevant job opportunities that align with your career goals. May I know in which field you are looking for job opportunities?"
USP of your service,What makes your service different from others?,"Our advanced algorithm, combined with human expertise, not only reviews and optimizes your CV but also aligns it with real-time job market trends. This ensures that your CV is not just tailored to your skills, but also to what employers are actively seeking. Additionally, we guarantee a minimum of five job interviews within the first three months of using our service. No other platform offers this guarantee. Shall I tell you more about our services?"
Discounts,Do you offer any discount?,"Currently, there's a 10% discount on the Premium package for new users. And also You can start with the CV analysis and if you choose to add the job placement service later, you'll still be eligible for the bundle discount. Would you like to give it a try?"
Client testimonials,What about your client success story?,Certainly! We have numerous success stories from clients who have landed their dream jobs with our assistance. I can share some testimonials and references with you on your email ID. Does it sound good?
Placement guarantee,Do you provide any placement guarantee?,"While we can't guarantee job placement, we ensure the provision of top-notch services that significantly increase your chances to get a job with minimum investment of 500 Rs. per month. Isn't it a fair deal?"
Payment Options,How do I pay?,"You can pay via debit or credit card, PayPal, bank transfers, or mobile wallets. Which one works best for you?"
Service Begin,When can I get started with your services?,"As soon as we receive payment confirmation, your services will begin.Would you like a walkthrough of the services once they're activated?"
CV Analysis,Explain more about how the CV analysis works?,"Yes, sure. CV (Curriculum Vitae) analysis, often referred to as resume parsing or CV parsing, is a process used by many job search and recruitment platforms to extract and analyze information from resumes or CVs submitted by job seekers. Would you like a demonstration of how our CV analysis works?"
Job placement,Explain me about your Job placement service?,"In our job placement service, we Conduct an initial interview to assess your skills and job preferences, Curate a list of job openings that match your profile,Offer interview coaching,Facilitate introductions with potential employers.Our team is dedicated to your success. Is there anything else you'd like to know about our placement service?"
Job Search,How can you help me with my job search?,"We offer personalized job recommendations tailored to your profile and preferences, assisting you in finding the right opportunities. Additionally, we provide tips on optimizing profiles to attract potential employers, further enhancing your job search efforts. These services are designed to help you to stand out in a competitive job market, ultimately increasing your chances of securing your desired positions.Would you like to take advantage of these services and give your job search a boost?"
 Job recommendation,How do you customize job recommendations for users?,"We use algorithms that consider your skills, experience, and preferences to suggest jobs that are a good fit for you. The more information you provide in your profile, the more accurate our recommendations will be. Would you like to see a few sample job recommendations based on your current profile?"
Interview preparation,Can you help with interview preparation?,"Absolutely! We offer interview coaching sessions, mock interviews, and provide feedback to ensure candidates are well-prepared. Our mock interviews are designed to mimic real-life interview scenarios. Would you like to try one?                                      "
Recruitment Sector Journey,How long have you been in the recruitment industry?,"We've proudly served the recruitment sector for over 10 years, bringing companies and candidates together.A decade in the business has given us unique insights into the evolving job market. Let's explore how we can utilize that knowledge to benefit your search. Are you ready?"
Latest Jobs Updates,How do you stay updated with the latest job market trends?,"Our team actively participates in industry conferences, workshops, and continuous learning to stay updated with the latest job market trends and requirements. This ensures that we offer our clients the most current and relevant advice. What goals are you aiming to achieve?"
Client Feedback,How do you handle client feedback?,Client feedback is crucial for us. We take it constructively and use it to improve our services continuously. We encourage open communication and always strive for your satisfaction.Your insights matter. Please let us know how we can better serve your needs.
Subscription,Is there any kind of subscription?,"Yes, you can choose between monthly and annual billing options. Monthly billing charges you on a month-to-month basis, while annual billing provides a discounted rate for a full year of service. Both options are designed to cater to different preferences. Are you leaning towards a particular billing option?"